"QLogin_1","Item","Segmented","lines","response_num","response","J1_Rating","J2_Rating","J3_Rating","J4_Rating"
"jZeyKHnS","paperclip","unsegmented",5,1,"1",NA,NA,NA,NA
"46nE85l6","paperclip","unsegmented",15,3,"",NA,NA,NA,NA
"RnAQze77","paperclip","segmented",15,4,"a connection in a circuit ",4,5,4,3
"j2pr9SC4","paperclip","segmented",15,5,"a game of pick-up-paperclips",2,5,1,2
"j2pr9SC4","paperclip","segmented",15,3,"a game piece in a board game",2,5,2,2
"Bn3F7OK4","paperclip","unsegmented",10,2,"a hair clip",3,3,2,2
"Bn3F7OK4","paperclip","unsegmented",10,3,"a hole puncher",2,2,2,1
"26AI7yNO","paperclip","unsegmented",15,2,"A lock pick",3,3,1,2
"26AI7yNO","paperclip","unsegmented",15,3,"A pipe cleaner",4,4,2,2
"6xuQ1Z9X","paperclip","segmented",15,5,"a weight for a scale ",2,1,2,1
"714kNX5M","paperclip","segmented",5,2,"abstract art sculpture",5,4,2,2
"4e855288","paperclip","unsegmented",15,7,"accent or ornament",2,3,2,1
"mmD57gcr","paperclip","segmented",10,3,"access a small whole",1,2,2,1
"25D5c5m2","paperclip","segmented",10,3,"affix a note to a bulletin board",1,1,2,2
"j2pr9SC4","paperclip","segmented",15,6,"an artistic sculpture of many paperclips",5,4,2,1
"G63FgMsT","paperclip","unsegmented",10,8,"an attachment ring",2,1,2,2
"U4KevCk0","paperclip","unsegmented",15,5,"antenna",4,2,3,2
"Zkew908t","paperclip","segmented",5,1,"antenna",4,2,3,2
"Lec2y841","paperclip","segmented",15,5,"art",3,4,2,1
"G63FgMsT","paperclip","unsegmented",10,3,"art object",3,4,2,1
"KrS6IRo8","paperclip","segmented",5,2,"Art projects",3,4,2,1
"o72ZrbMG","paperclip","unsegmented",5,3,"art projects",3,4,2,1
"88ft50be","paperclip","segmented",15,7,"art/craft item",3,4,2,1
"UUCR5rl5","paperclip","unsegmented",10,4,"artwork",3,4,2,1
"iR7JwQyj","paperclip","segmented",10,5,"as",NA,NA,NA,1
"0BXXso67","paperclip","unsegmented",10,4,"as a clip to close plastic bags",1,3,1,2
"77sZintI","paperclip","unsegmented",15,2,"as a clothes-hanger",4,3,2,2
"77sZintI","paperclip","unsegmented",15,7,"as a magnet",4,2,1,1
"77sZintI","paperclip","unsegmented",15,4,"as a means of getting a SIM card out of a phone",5,3,2,2
"c73oB20h","paperclip","unsegmented",10,2,"as a pin on corkboard",2,1,2,1
"26AI7yNO","paperclip","unsegmented",15,1,"As a pin to puncture",2,2,2,1
"0BXXso67","paperclip","unsegmented",10,1,"as a screwdriver to tighten or loosen a screw",4,4,3,2
"0BXXso67","paperclip","unsegmented",10,5,"as an earring",4,3,2,2
"j2pr9SC4","paperclip","segmented",15,10,"as an eye on a snowman",5,2,3,2
"j2pr9SC4","paperclip","segmented",15,11,"as part of a trail of paperclips leading somewhere",5,2,2,1
"iR7JwQyj","paperclip","segmented",10,1,"Attach a lot of papers together",1,1,1,1
"Dw04qHCX","paperclip","segmented",15,7,"attach disparate items",1,1,1,1
"7GArH3BH","paperclip","segmented",10,3,"attach many together and make a belt",5,4,1,3
"ChL1fI6f","paperclip","unsegmented",15,1,"attach papers",1,1,1,1
"jZeyKHnS","paperclip","unsegmented",5,4,"attach to body as art 4",NA,2,2,2
"U4KevCk0","paperclip","unsegmented",15,3,"attaching string",1,1,1,1
"3fDKk8eo","paperclip","segmented",10,6,"back scratcher",3,3,3,2
"n0jCAZ1s","paperclip","segmented",5,8,"Back scratcher ",3,3,3,2
"4HiPU3ch","paperclip","unsegmented",15,3,"Barbie Ice-Skates",1,3,5,4
"G63FgMsT","paperclip","unsegmented",10,9,"barrett",3,3,2,2
"EqZE362k","paperclip","unsegmented",15,7,"belt holder",4,3,2,2
"zV3626L0","paperclip","segmented",10,2,"bend ",1,NA,1,1
"jhX9tFGh","paperclip","unsegmented",15,3,"bend and wear as ring",3,3,2,2
"W8K1dDJu","paperclip","segmented",15,2,"bend into a corkscrew",3,3,3,2
"ib5Yvt55","paperclip","segmented",5,2,"bend into a mini TV antenna",4,2,3,2
"Jc1pC053","paperclip","unsegmented",10,1,"Bend into a piece of jewelry, such as in shape of flower",4,3,2,3
"fpSd88hY","paperclip","segmented",5,4,"bend it into a small catapult to fire little pieces of paper at your coworker",5,3,5,5
"KmUX88nb","paperclip","unsegmented",5,5,"bill holder",1,4,1,1
"O3A01apk","paperclip","unsegmented",5,11,"bind objects together",1,1,1,1
"vLu5G9ae","paperclip","unsegmented",5,1,"Bind papers together ",1,NA,1,1
"25D5c5m2","paperclip","segmented",10,7,"binder clip",1,1,1,1
"Rl8IcXro","paperclip","segmented",15,3,"blister popper",3,2,4,2
"FdOMf9nm","paperclip","segmented",15,3,"Body Piercing tool",1,2,3,2
"O3A01apk","paperclip","unsegmented",5,7,"book mark",1,4,2,1
"UUx7idJG","paperclip","segmented",15,3,"book mark",1,4,2,1
"7Ax9AeZ2","paperclip","segmented",10,1,"bookmark",1,4,2,1
"b52wN2J4","paperclip","segmented",10,2,"bookmark",1,4,2,1
"F3E7d323","paperclip","segmented",15,1,"bookmark",1,4,2,1
